job_role,skills
Data Scientist,"Python SQL Machine Learning Statistics Data Analysis Pandas NumPy Visualization"
DevOps Engineer,"AWS Docker Kubernetes CI/CD Linux Automation Cloud Computing Git"
Backend Developer,"Java Python SQL APIs Spring Boot Databases Git Microservices"
Frontend Developer,"JavaScript React HTML CSS Web Design UI UX TypeScript"
Cloud Architect,"AWS Azure Cloud Computing Networking Security Automation Docker Kubernetes"
Machine Learning Engineer,"Python Machine Learning TensorFlow PyTorch Deep Learning Data Structures Algorithms"
Data Analyst,"SQL Excel Python Data Analysis Visualization Statistics Power BI"
Full Stack Developer,"JavaScript Python SQL React Node APIs Git Web Design"
Site Reliability Engineer,"Linux AWS Automation Kubernetes Monitoring Networking CI/CD"
Database Administrator,"SQL Databases Backup Security Linux Performance Tuning"
Mobile App Developer,"Java Kotlin Swift Mobile UI UX APIs Git"
Cybersecurity Analyst,"Networking Security Linux Python Risk Assessment Cryptography"
AI Research Engineer,"Python Machine Learning Deep Learning Algorithms Data Structures Statistics Research"
QA Automation Engineer,"Python Java Automation Testing Selenium CI/CD Git"
Business Intelligence Developer,"SQL Power BI Data Analysis Visualization Excel Statistics"
